id,spot_name,canonical_name,place_type,experience_type,region,tourism_area,associated_destination,nearest_city,district,latitude,longitude,distance_from_destination_km,category,subcategory,classification,hidden_gem_score,experience_score,verification_confidence,popularity_level,crowd_level,best_season,best_months,best_time_of_day,accessibility,accessibility_status,walking_required,trek_required,boat_required,estimated_visit_duration,entry_fee,opening_hours,parking_available,food_available,washroom_available,drinking_water_available,mobile_connectivity,family_friendly,children_friendly,elderly_friendly,couple_friendly,solo_friendly,safety_level,safety_note,recommendation_tags,short_description,hidden_gem_reason,why_visit,local_tip,verification_notes,source_quality,source_1_name,source_1_url,source_2_name,source_2_url,source_3_name,source_3_url,last_verified,img1,img2
109,Jor Valley Forest View (Arthur's Seat),Jor Valley Forest View (Arthur's Seat),VIEWPOINT,Nature Escape,Mahabaleshwar,"Arthur's Seat, Mahabaleshwar",Mahabaleshwar,Mahabaleshwar,Satara,NULL,NULL,NULL,Nature,Forest,OFFBEAT,68,72,68,Low,Low,Winter,November–February,Morning,Easy,Needs Verification,No,No,No,1 hour,NULL,NULL,Yes (typical of Mahabaleshwar viewpoints),Nearby,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,Sheer cliff edges at Western Ghats viewpoints; stay behind railings and avoid the edge in wind or rain.,Nature|Viewpoint|Photography,"The dense Jor Valley forest visible from the far side of Arthur's Seat, opposite the more-photographed Savitri Valley side.","Arthur's Seat itself is a known Mahabaleshwar viewpoint, but the Jor Valley forest outlook is a lesser-visited angle from it.","Potentially offbeat because most visitors to Arthur's Seat focus on the Savitri Valley side, leaving the Jor Valley outlook comparatively overlooked.","Verify local access, weather and seasonal conditions before departure.","Current visitor access/details were not sufficiently independently verified in this pass. STAGE 3: Arthur's Seat is a documented Mahabaleshwar viewpoint (govt. Satara ZP source); the specific 'Jor Valley' framing not independently confirmed, coordinates left NULL.",2,Zilla Parishad Satara (Government),https://www.zpsatara.gov.in/?p=8126,,,,,2026-09-10,,
104,Bahiroba Temple (Rajmachi Plateau),Bahiroba Temple (Rajmachi Plateau),HERITAGE_SITE,Spiritual Experience,Lonavala,Rajmachi plateau,Lonavala,Lonavala/Karjat,Pune,NULL,NULL,NULL,Spiritual,Temple,OFFBEAT,67,55,78,Low,Low,Winter,November–February,Morning,Easy,Generally visitable; verify local conditions,No,No,No,1 hour,Free,NULL,No (trek-only access),Nearby (Rajmachi village),Unknown,Unknown,Limited,Yes,Yes,Yes,Yes,Yes,Low,Reached only via trekking trail; wear trekking shoes and carry water for the plateau walk.,Spiritual Experience|Trekking|Heritage,A small temple on the Rajmachi plateau between the Shrivardhan and Manaranjan forts.,"A modest shrine on the Rajmachi plateau, visited mainly by trekkers already headed to Shrivardhan/Manaranjan forts rather than as a standalone destination.",Potentially offbeat because it is documented only as a minor stop within the Rajmachi trek itinerary rather than an independent attraction.,"Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Coordinates not independently confirmed; access requires the same trek as Rajmachi forts.",2,Treks and Trails,https://www.treksandtrails.org/tours/rajmachi-and-kondhane-caves-trek,,,,,2026-09-10,,
13,Bhushan Mahamuni Temple,Bhushan Mahamuni Temple,HERITAGE_SITE,Spiritual Experience,Mahabaleshwar,Mahabaleshwar plateau,Mahabaleshwar,Mahabaleshwar,Satara,NULL,NULL,NULL,Spiritual,Temple,OFFBEAT,65,48,68,Low,Low,Winter,November–February,Morning,Easy,Needs Verification,No,No,No,1 hour,Free,NULL,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,Standard temple-visit precautions; no unusual hazards reported.,Spiritual Experience|Heritage,"A serene, lesser-visited temple with intricate architecture set amid misty hills near Mahabaleshwar.",A smaller shrine that does not appear on standard Mahabaleshwar temple circuits dominated by the main Krishnabai/Mahabaleshwar temples.,Already identified as a candidate in prior dataset; retained pending Stage 2 verification (limited independent sourcing found).,"Verify local access, weather and seasonal conditions before departure.","Current visitor access/details were not sufficiently independently verified in this pass. STAGE 3: Could not independently confirm exact location, history, or current accessibility this pass — treat as Needs Verification.",1,Agoda Travel Guides,https://www.agoda.com/travel-guides/india/mahabaleshwar/discover-7-hidden-gems-near-mahabaleshwar-this-monsoon-2,,,,,2026-09-10,,
74,Wheat Rust Research Station,Wheat Rust Research Station,PLACE,Unique Experience,Mahabaleshwar,Near Wilson Point,Mahabaleshwar,Mahabaleshwar,Satara,NULL,NULL,NULL,Unique Experience,Other,OFFBEAT,65,45,68,Low,Low,Winter,November–February,Morning,Easy,Needs Verification,No,No,No,1 hour,NULL,NULL,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,A working research facility; visitors should follow any posted access restrictions and not enter restricted plots.,Unique Experience|Agritourism,"A government agricultural research centre near Wilson Point studying wheat rust disease, noted in official district tourism material.","A genuine agricultural research curiosity near Wilson Point, but not designed as a visitor attraction, so it stays off standard tourist routes.",Potentially offbeat because it is an unusual scientific/institutional site rarely mentioned in typical tourist literature.,"Verify local access, weather and seasonal conditions before departure.","Current visitor access/details were not sufficiently independently verified in this pass. STAGE 3: Existence and general location (near Wilson Point) confirmed via Zilla Parishad Satara (official government source); public visitor access not confirmed — treat as Needs Verification, may be a working facility with limited/no public entry.",5,Zilla Parishad Satara (Government),https://www.zpsatara.gov.in/?p=8126,,,,,2026-09-10,,
96,Nageshwar Shiv Temple (Bamnoli),Nageshwar Shiv Temple (Bamnoli),HERITAGE_SITE,Spiritual Experience,Tapola,Bamnoli / Shivsagar backwaters,Tapola,Bamnoli,Satara,NULL,NULL,NULL,Spiritual,Temple,OFFBEAT,65,58,78,Low,Low,Winter,November–February,Morning,Easy,Generally visitable; verify local conditions,No,No,Yes,1 hour,Free,NULL,Unknown,Nearby (Bamnoli boat point),Unknown,Unknown,Limited,Yes,Yes,Yes,Yes,Yes,Low,Reached by boat across Shivsagar backwaters; use only registered boat operators and life jackets.,Spiritual Experience|Water Experience|Boat Ride,"A temple accessible by boat from Bamnoli village on the Shivsagar backwaters, visited alongside trips to Vasota Fort.","One of the temple stops on Tapola boat rides, but overshadowed by the Triveni Sangam and Vasota Fort as the main draws of the same boat trip.","Potentially offbeat because it is reachable only by a guided boat tour from a small village, with minimal independent tourism coverage.","Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: General location (reached via Tapola/Bamnoli boat rides across Shivsagar Lake) corroborated by multiple travel sources; exact coordinates not confirmed.",2,Places Near Pune (travel blog),https://placesnearpune.com/2010/09/bamnoli-village-near-satara/,,,,,2026-09-10,,
7,Chinaman's Falls,Chinaman's Falls,NATURE_SITE,Nature Escape,Mahabaleshwar,"Babington Point area, Mahabaleshwar",Mahabaleshwar,Mahabaleshwar,Satara,NULL,NULL,NULL,Nature,Waterfall,OFFBEAT,62,68,78,Low,Seasonal,Monsoon,June–September,Morning,Moderate,Generally visitable; verify local conditions,Yes,No,No,1–2 hours,NULL,NULL,Yes,Nearby,Unknown,Unknown,Unknown,Yes,Yes,Conditional,Yes,Yes,Moderate,Rocks and viewing edges can be slippery in the monsoon; avoid approaching unstable edges near the falls.,Nature|Waterfall|Photography|Monsoon,"A secluded waterfall near Mahabaleshwar reached via a short trail, tucked away from the main tourist points.","A named waterfall confirmed on the official Mahabaleshwar points circuit, but consistently overshadowed by Lingmala Falls in tourist attention.",Already identified as a candidate in prior dataset; retained pending Stage 2 verification.,"Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Existence and general location (Babington Point / Carvaili Road area) confirmed via Zilla Parishad Satara (official) and Yatra travel guide; precise waterfall coordinates not independently confirmed.",5,Agoda Travel Guides,https://www.agoda.com/travel-guides/india/mahabaleshwar/spring-escapades-hidden-gems-in-mahabaleshwar-in-march,,,,,2026-09-10,,
45,Shirota Forest / Shirota Dam,Shirota Forest / Shirota Dam,NATURE_SITE,Nature Escape,Lonavala,"Shirota, near Lonavala",Lonavala,Lonavala,Pune,NULL,NULL,NULL,Nature,Forest,OFFBEAT,62,55,78,Low,Low,Winter,October–February,Morning / Sunset,Vehicle Required,Generally visitable; verify local conditions,No,No,No,1 hour,NULL,NULL,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,"Forest/dam-adjacent area; stay clear of spillway zones and slippery banks, especially in monsoon.",Nature|Forest|Lake|Photography,"A protected forest stretch with a dam/backwaters along the Lonavala approach route to Rajmachi, noted for birdwatching.","A lesser-known dam/forest area in the Lonavala belt, overshadowed by the region's more famous lakes and forts.",Potentially offbeat because it is mentioned mainly as a scenic pass-through on the Rajmachi trek route rather than a standalone destination.,"Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Could not independently confirm exact coordinates or current public access this pass; some dam catchment areas in this belt have restricted access — treat as Needs Verification.",2,India Hikes,https://indiahikes.com/documented-trek/rajmachi-trek,,,,,2026-09-10,,
98,Triveni Sangam (Tapola),Triveni Sangam (Tapola),NATURE_SITE,Water Experience,Tapola,Tapola / Shivsagar backwaters,Tapola,Tapola,Satara,NULL,NULL,25,Nature,Other,OFFBEAT,62,76,78,Low,Low,Winter,November–February,Morning,Easy,Generally visitable; verify local conditions,No,No,Yes,1 hour,Boat ride fee applies (amount not independently confirmed),NULL,Yes (at Tapola boat club),Nearby,Unknown,Unknown,Limited,Yes,Yes,Yes,Yes,Yes,Low,Boat-based access on open backwaters; use registered operators and wear the life jacket provided.,Nature|Water Experience|Boat Ride|Photography,A confluence point on the Koyna backwaters near Tapola visited via boat rides from the Mini Kashmir boat club.,"A scenic river confluence reachable only by boat, keeping it out of reach of casual day-trippers who stick to Mahabaleshwar's roadside points.",Potentially offbeat because it is reachable only by a specific boat route and is mentioned mainly in personal travel blogs rather than major tourism sites.,"Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Confluence of Koyna, Solshi and Kandati rivers, reached by boat from Tapola, confirmed via multiple travel sources; exact GPS point on the water not meaningfully determinable/verifiable.",3,Goodreads Author Blog,https://www.goodreads.com/author_blog_posts/19076100-a-slice-of-kashmir-in-maharashtra-tapola,,,,,2026-09-10,,
28,Takve Lake,Takve Lake,NATURE_SITE,Nature Escape,Maval,Maval agro-tourism belt,Maval,Lonavala,Pune,NULL,NULL,NULL,Nature,Lake,OFFBEAT,60,50,78,Low,Low,Winter,October–February,Morning / Sunset,Vehicle Required,Generally visitable; verify local conditions,No,No,No,1 hour,NULL,NULL,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,"Lakeside area; take care near unfenced banks, especially with children.",Nature|Lake|Photography,"A boating lake in the Maval agro-tourism belt near Lonavala, mentioned alongside Korigad and Tikona forts.",Appears mainly in a regional round-up of offbeat spots rather than mainstream 'top lakes' lists for the Lonavala/Maval area.,Potentially offbeat because it appears only in a regional agro-tourism roundup rather than mainstream 'top places' lists.,"Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Could not independently confirm exact coordinates this pass; retained per Outlook Traveller listing.",3,Outlook Traveller,https://www.outlooktraveller.com/experiences/places-of-interest/hidden-gems-near-mumbai-you-must-not-miss,,,,,2026-09-10,public/images/Takve Lake.jpg,
30,Kataldhar Waterfall,Kataldhar Waterfall,NATURE_SITE,Nature Escape,Lonavala / Rajmachi-side area,Ulhas Valley / Rajmachi side,Lonavala,Lonavala,Pune,NULL,NULL,NULL,Nature,Waterfall,OFFBEAT,60,72,78,Low,Seasonal,Monsoon,June–September,Morning,Moderate,Seasonal conditions; verify current access,Yes,No,No,1–2 hours,NULL,NULL,Unknown,Unknown,Unknown,Unknown,Limited,Yes,Conditional,Conditional,Yes,Conditional,High,"Rocks may become slippery during monsoon; avoid approaching unstable edges, and note that base access is often restricted during heavy rain.",Nature|Waterfall|Photography|Monsoon|Trekking,"A waterfall with a drop of over 100 m in the Ulhas Valley near Lonavala, viewable from Rajmachi's Shrivardhan Fort.","A tall (100m+) waterfall best seen from Shrivardhan Fort on the Rajmachi plateau rather than approached directly, which limits casual visitation.","Candidate for further verification because access to the base is often restricted during heavy rain, and sources note growing interest among travellers seeking unexplored corners.","Verify local access, weather and seasonal conditions before departure.",Stage-1 geographic association corrected/qualified: Lonavala / Rajmachi-side area. STAGE 3: Coordinates not independently confirmed this pass.,2,Kupi.com Travel Guide,https://kupi.com/en-ae/explore/india/lonavala/kataldhar-waterfall,,,,,2026-09-10,public/images/Ketaldhar.jpg,
88,Kenjalgad Fort & Ghera Kenjal Village,Kenjalgad Fort & Ghera Kenjal Village,COMBINED_DESTINATION,Trekking & Village Experience,Wai–Bhor region,Ghera Kenjal / Mandhardev spur,Wai,Bhor / Wai,Satara / Pune,NULL,NULL,18,Heritage & Village,Fort & Village,OFFBEAT,64,72,74,Low,Low,Winter,November–February,Morning,Moderate,Generally visitable; verify local conditions,Yes,Yes,No,2–4 hours,Free,Daylight hours only,Limited (base village),Limited,Unknown,Unknown,Limited,Yes,Conditional,Conditional,Yes,Conditional,High,"Steep/uneven trek sections; the village approach can be rugged. Wear proper trekking footwear, carry water, and start early.",Adventure|Trekking|Fort|Village Experience|Local Experience|Photography|Heritage,"A combined experience of Kenjalgad Fort and its base village, Ghera Kenjal, on the Mandhardev spur near Wai.","The fort is a lesser-known trek and Ghera Kenjal is the working base village for the route, giving visitors both a fort experience and a local village setting.",Combines the Kenjalgad trek with Ghera Kenjal village instead of treating the fort and village as separate cards.,Verify local road and trail conditions before departure; the last village stretch can be rugged.,Combined from the existing Kenjalgad Fort and Ghera Kenjal Village records as requested. Coordinates remain NULL because the source dataset did not provide confidently reconciled coordinates.,4,Places Near Pune / Treks and Trails,https://placesnearpune.com/2024/06/trek-to-kenjalgad-fort-a-small-but-interesting-trek-near-wai/,Treks and Trails,https://www.treksandtrails.org/tours/kenjalgad-fort-trek-mumbai,,,2026-09-11,public/images/Kenjalgad_Fort.jpg,public/images/Ghera Kenjal Village.jpeg
